NUID,club_id,when_joined,NU_id,club_ID
1,1,8/29/2023,58,69
2,2,7/3/2020,87,60
3,3,1/8/2019,72,50
4,4,5/5/2023,12,84
5,5,4/20/2019,33,65
6,6,9/25/2023,96,11
7,7,3/3/2022,15,17
8,8,10/9/2020,55,85
9,9,2/14/2019,7,30
10,10,5/7/2021,23,77
11,11,7/20/2023,22,92
12,12,11/25/2020,71,18
13,13,4/22/2023,86,63
14,14,11/23/2020,65,41
15,15,10/11/2024,64,56
16,16,8/10/2023,93,95
17,17,10/6/2019,70,73
18,18,10/30/2024,76,57
19,19,6/17/2022,59,97
20,20,1/18/2020,25,55
21,21,9/18/2023,77,25
22,22,7/19/2023,97,48
23,23,12/19/2019,74,53
24,24,7/8/2021,80,45
25,25,4/5/2020,53,36
26,26,12/5/2022,3,82
27,27,7/16/2019,40,75
28,28,8/3/2024,21,39
29,29,12/30/2022,56,52
30,30,6/1/2020,83,8
31,31,6/4/2022,61,9
32,32,4/5/2019,88,51
33,33,8/7/2022,43,46
34,34,10/22/2019,95,7
35,35,2/14/2022,50,35
36,36,11/7/2024,31,27
37,37,1/27/2020,84,21
38,38,1/4/2025,17,32
39,39,11/26/2024,69,87
40,40,1/23/2019,39,28
41,41,12/10/2019,14,37
42,42,11/22/2019,94,64
43,43,6/20/2019,37,80
44,44,2/1/2023,28,38
45,45,5/10/2019,68,12
46,46,11/14/2023,1,89
47,47,8/18/2021,81,14
48,48,1/2/2019,38,62
49,49,7/3/2020,4,10
50,50,8/26/2023,24,44
51,51,2/24/2022,54,19
52,52,5/29/2023,98,4
53,53,5/9/2023,92,5
54,54,4/23/2023,34,43
55,55,10/13/2022,16,86
56,56,11/18/2020,89,3
57,57,5/5/2020,42,23
58,58,6/1/2021,99,59
59,59,6/4/2023,45,67
60,60,6/6/2019,13,54
61,61,3/19/2023,100,68
62,62,11/17/2020,73,71
63,63,3/30/2020,91,16
64,64,3/7/2022,26,81
65,65,11/12/2020,52,72
66,66,4/9/2019,30,98
67,67,9/13/2022,60,15
68,68,2/25/2023,27,42
69,69,5/6/2023,67,74
70,70,8/11/2022,85,31
71,71,5/23/2019,6,13
72,72,12/7/2024,46,20
73,73,8/14/2019,66,6
74,74,10/24/2024,2,22
75,75,10/24/2022,75,83
76,76,2/10/2023,11,1
77,77,11/6/2022,10,66
78,78,4/10/2022,78,99
79,79,7/11/2023,44,93
80,80,10/24/2022,5,2
81,81,1/19/2022,20,100
82,82,12/26/2024,29,91
83,83,7/12/2021,62,24
84,84,3/1/2023,41,70
85,85,6/1/2023,49,90
86,86,1/17/2025,35,94
87,87,1/25/2024,36,76
88,88,4/1/2023,63,96
89,89,6/17/2021,79,88
90,90,9/25/2019,57,61
91,91,4/7/2022,8,79
92,92,2/18/2024,32,29
93,93,5/19/2024,90,49
94,94,7/30/2021,47,78
95,95,11/17/2023,9,34
96,96,7/31/2020,82,58
97,97,12/26/2022,19,33
98,98,4/3/2024,18,40
99,99,2/26/2020,51,26
100,100,4/1/2023,27,47
